transaction_iD,transaction_date,product_id,product_name,quantity,unit_price,total_price
R000001,2023-01-01,P001,ソニーBRAVIAKJ-55X9500G［期間限定］,2,150000,300000
R000002,2023-02-02,P002,パナソニック VIERA TH-55FX700M【店頭】＜期間限定＞,3,120000,360000
R000003,2023-03-03,P003,シャープ AQUOS 4T KJ-55X7000[半額セール],4,110000,440000
R000004,2023-04-04,P004,日清カップヌードル［期間限定］,5,200,1000
R000005,2023-05-05,P005,キリン 一番搾りビール【店頭】＜半額セール＞,1,400,400
R000006,2023-06-06,P006,アタック洗剤（期間限定）,2,800,1600
R000007,2023-07-07,P007,ﾕﾆｸﾛﾋｰﾄﾃッｸTｼャﾂ[半額セール],3,1500,4500
R000008,2023-08-08,P008,無印良品 オーガニックコットンシャツ【店頭】［期間限定］,4,2500,10000
R000009,2023-09-09,P009,パイロット フリクションボールペン【閉店セール】,5,100,500
R000010,2023-10-10,P010,タカラトミーガンダムフィギュア【期間限定】,1,3000,3000
R000011,2023-11-11,P011,東芝 ＲＥＧＺＡ ４３Ｓ３２【店頭】【半額セール】,2,70000,140000
R000012,2023-12-12,P012,ミルクチョコレート[期間限定],3,150,450
R000013,2023-01-13,P013,ライオンレノアハピネス【半額セール】,4,500,2000
R000014,2023-02-14,P014,三菱ｴｱｺﾝ MSZ-GV3519【店頭】＜期間限定＞,5,90000,450000
R000015,2023-03-15,P015,森永 エンゼルパイ＜半額セール＞,1,300,300
R000016,2023-04-16,P016,日立4Kスマートテレビ【期間限定】,2,80000,160000
R000017,2023-05-17,P017,パナソニック 4Kプロジェクター【店頭】（半額セール）,3,130000,390000
R000018,2023-06-18,P018,加湿器 HX-50［期間限定］,4,15000,60000
R000019,2023-07-19,P019,ソニーワイヤレスヘッドホンWH-1000XM4[半額セール],5,90000,450000
R000020,2023-08-20,P020,パナソニック 掃除機 mc-cl883【店頭】[半額セール],1,75000,75000
R000021,2023-09-21,P021,東芝 ﾉﾝﾌﾛﾝ冷蔵庫［半額セール］,2,85000,170000
R000022,2023-10-22,P022,日立ドラム式洗濯機【半額セール】,3,100000,300000
R000023,2023-11-23,P023,パナソニック エアコン CS-XE【店頭】【半額セール】,4,95000,380000
R000024,2023-12-24,P024,デジタルカメラ α7 III（期間限定）,5,200000,1000000
R000025,2023-01-25,P025,キヤノンeosr6［期間限定］,1,230000,230000
R000026,2023-02-26,P026,富士通 ノートパソコン FMV【店頭】[期間限定],2,80000,160000
R000027,2023-03-27,P027,NEC ValueBook＜半額セール＞,3,85000,255000
R000028,2023-04-28,P028,ｵﾘﾝパｽOM-DE-M10【閉店セール】,4,120000,480000
R000029,2023-05-01,P029,キャノン PIXMA iX6820【店頭】［期間限定］,5,25000,125000
R000030,2023-06-02,P030,エコタンク et-2750【半額セール】,1,35000,35000
R000031,2023-07-03,P031,リコーIMC200（期間限定）,2,40000,80000
R000032,2023-08-04,P032,京セラ DS-300【店頭】【半額セール】,3,45000,135000
R000033,2023-09-05,P033,日清 どん兵衛＜期間限定＞,4,220,880
R000034,2023-10-06,P034,サントリーザ・プレミアムモルツ（期間限定）,5,500,2500
R000035,2023-11-07,P035,ﾔｸﾙﾄ 1000【店頭】［期間限定］,1,250,250
R000036,2023-12-08,P036,カレールウ［半額セール］,2,300,600
R000037,2023-01-09,P037,マルちゃん正麺[期間限定],3,250,750
R000038,2023-02-10,P038,江崎グリコ ポッキー【店頭】【閉店セール】,4,150,600
R000039,2023-03-11,P039,ロッテ ガーナミルクチョコレート[半額セール],5,180,900
R000040,2023-04-12,P040,クラシエサッポロ一番【半額セール】,1,210,210
R000041,2023-05-13,P041,カゴメ トマトジュース【店頭】[閉店セール],2,180,360
R000042,2023-06-14,P042,ｿﾌィ【期間限定】,3,350,1050
R000043,2023-07-15,P043,P&Gアリエール洗濯洗剤[閉店セール],4,800,3200
R000044,2023-08-16,P044,資生堂 ＴＳＵＢＡＫＩシャンプー【店頭】【半額セール】,5,1200,6000
R000045,2023-09-17,P045,大正製薬 サロンパス【閉店セール】,1,400,400
R000046,2023-10-18,P046,ロート製薬ムヒ［期間限定］,2,500,1000
R000047,2023-11-19,P047,カネボウ ハンドクリーム【店頭】[期間限定],3,700,2100
R000048,2023-12-20,P048,ソフィ 洗濯柔軟剤（半額セール）,4,300,1200
R000049,2023-01-21,P049,ﾕﾆｸﾛジｰﾝズ［期間限定］,5,3000,15000
R000050,2023-02-22,P050,無印良品 ウールブレンドコート【店頭】＜期間限定＞,1,5000,5000
R000051,2023-03-23,P051,ユニクロ スウェットパーカー（半額セール）,2,2500,5000
R000052,2023-04-24,P052,無印良品リネンシャツ＜半額セール＞,3,2800,8400
R000053,2023-05-25,P053,ユニクロ ストレッチジャケット【店頭】（期間限定）,4,3500,14000
R000054,2023-06-26,P054,Tシャツ[閉店セール],5,1200,6000
R000055,2023-07-27,P055,無印良品シンプルワンピース＜期間限定＞,1,4000,4000
R000056,2023-08-28,P056,パｲﾛッﾄ G2 ジェﾙペﾝ【店頭】［半額セール］,2,150,300
R000057,2023-09-01,P057,三菱鉛筆 ユニ【閉店セール】,3,120,360
R000058,2023-10-02,P058,コクヨキャンパスノート（半額セール）,4,200,800
R000059,2023-11-03,P059,ゼブラ マイルドライナー【店頭】【半額セール】,5,180,900
R000060,2023-12-04,P060,モノ消しゴム＜期間限定＞,1,100,100
R000061,2023-01-05,P061,PentelEnerGel［期間限定］,2,180,360
R000062,2023-02-06,P062,パイロット フリクションペン【店頭】【閉店セール】,3,130,390
R000063,2023-03-07,P063,ぺんてる ｼャｰプペﾝｼﾙ（半額セール）,4,160,640
R000064,2023-04-08,P064,クラフトマンボールペン＜半額セール＞,5,150,750
R000065,2023-05-09,P065,プラス カラーペンセット【店頭】＜期間限定＞,1,250,250
R000066,2023-06-10,P066,プラレール［期間限定］,2,2800,5600
R000067,2023-07-11,P067,バンダイたまごっち【期間限定】,3,1200,3600
R000068,2023-08-12,P068,バンダイ 仮面ライダーアクションフィギュア【店頭】[閉店セール],4,3200,12800
R000069,2023-09-13,P069,タカラトミー トミカ[閉店セール],5,1500,7500
R000070,2023-10-14,P070,バﾝダｲﾄﾗﾝｽﾌォｰﾏｰ［半額セール］,1,3500,3500
R000071,2023-11-15,P071,バンダイ デジモンカード【店頭】［半額セール］,2,500,1000
R000072,2023-12-16,P072,スーパーロボットアクションフィギュア（半額セール）,3,4000,12000
R000073,2023-01-17,P073,タカラトミーウルトラマンフィギュア【期間限定】,4,3000,12000
R000074,2023-02-18,P074,バンダイ ミニ四駆【店頭】＜期間限定＞,5,2000,10000
R000075,2023-03-19,P075,ソニー ワイヤレススピーカー srs-xb12［半額セール］,1,8000,8000
R000076,2023-04-20,P076,パナソニックポータブルスピーカー【半額セール】,2,6000,12000
R000077,2023-05-21,P077,ｼャｰプ ｽﾏｰﾄｳォッﾁ【店頭】［半額セール］,3,18000,54000
R000078,2023-06-22,P078,デジタルサイネージ＜期間限定＞,4,95000,380000
R000079,2023-07-23,P079,パナソニック電子レンジ[半額セール],5,15000,75000
R000080,2023-08-24,P080,ソニー ブルーレイプレーヤー【店頭】[期間限定],1,12000,12000
R000081,2023-09-25,P081,LG OLED55C1【期間限定】,2,180000,360000
R000082,2023-10-26,P082,東芝LEDテレビ55型【閉店セール】,3,70000,210000
R000083,2023-11-27,P083,パナソニック 冷蔵庫 NR-F603M【店頭】［半額セール］,4,90000,360000
R000084,2023-12-28,P084,空気清浄機[閉店セール],5,22000,110000
R000085,2023-01-01,P085,日立炊飯器rz-mシリーズ【半額セール】,1,30000,30000
R000086,2023-02-02,P086,三菱 IHクッキングヒーター【店頭】[期間限定],2,45000,90000
R000087,2023-03-03,P087,ソニー ゲーム機 PLAYSTATION5【期間限定】,3,50000,150000
R000088,2023-04-04,P088,任天堂ＳＷＩＴＣＨ＜半額セール＞,4,40000,160000
R000089,2023-05-05,P089,マイクロソフト Xbox Series X【店頭】【半額セール】,5,55000,275000
R000090,2023-06-06,P090,ビエラ ブルーレイレコーダー［期間限定］,1,35000,35000
R000091,2023-07-07,P091,ｼャｰプｽﾏｰﾄﾌォﾝAQUOSR6【半額セール】,2,70000,140000
R000092,2023-08-08,P092,ソニー デジタル一眼レフ α7R IV【店頭】[半額セール],3,250000,750000
R000093,2023-09-09,P093,キヤノン EOS 90D＜期間限定＞,4,150000,600000
R000094,2023-10-10,P094,富士フイルムX-T4＜半額セール＞,5,170000,850000
R000095,2023-11-11,P095,オリンパス pen-f【店頭】（半額セール）,1,140000,140000
R000096,2023-12-12,P096,Z6 II［半額セール］,2,200000,400000
R000097,2023-01-13,P097,キャノンimagePROGRAFPRO-1000［期間限定］,3,300000,900000
R000098,2023-02-14,P098,ｴプｿﾝ ｽｷャﾅｰ Perfection V39【店頭】（期間限定）,4,25000,100000
R000099,2023-03-15,P099,リコー ＭＰ Ｃ４５０４（半額セール）,5,80000,400000
R000100,2023-04-16,P100,京セラtaskalfa2552ci（半額セール）,1,250000,250000
R000101,2023-05-17,P001,ソニー BRAVIA KJ-55X9500G【店頭】（半額セール）,2,150000,300000
R000102,2023-06-18,P002,VIERA TH-55FX700M［期間限定］,3,120000,360000
R000103,2023-07-19,P003,シャープAQUOS4TKJ-55X7000（期間限定）,4,110000,440000
R000104,2023-08-20,P004,日清 カップヌードル【店頭】[期間限定],5,200,1000
R000105,2023-09-21,P005,ｷﾘﾝ 一番搾りビｰﾙ＜期間限定＞,1,400,400
R000106,2023-10-22,P006,花王アタック洗剤（半額セール）,2,800,1600
R000107,2023-11-23,P007,ユニクロ ヒートテックTシャツ【店頭】[閉店セール],3,1500,4500
R000108,2023-12-24,P008,オーガニックコットンシャツ【半額セール】,4,2500,10000
R000109,2023-01-25,P009,パイロットフリクションボールペン＜期間限定＞,5,100,500
R000110,2023-02-26,P010,タカラトミー ガンダムフィギュア【店頭】【閉店セール】,1,3000,3000
R000111,2023-03-27,P011,東芝 REGZA 43S32[期間限定],2,70000,140000
R000112,2023-04-28,P012,明治ﾐﾙｸﾁョｺﾚｰﾄ【半額セール】,3,150,450
R000113,2023-05-01,P013,ライオン レノアハピネス【店頭】［半額セール］,4,500,2000
R000114,2023-06-02,P014,MSZ-GV3519【半額セール】,5,90000,450000
R000115,2023-07-03,P015,森永エンゼルパイ【期間限定】,1,300,300
R000116,2023-08-04,P016,日立 4Kスマートテレビ【店頭】[閉店セール],2,80000,160000
R000117,2023-09-05,P017,パナソニック 4Kプロジェクター（期間限定）,3,130000,390000
R000118,2023-10-06,P018,シャープ加湿器HX-50[期間限定],4,15000,60000
R000119,2023-11-07,P019,ｿﾆｰ ﾜｲﾔﾚｽﾍッドﾎﾝ WH-1000XM4【店頭】（半額セール）,5,90000,450000
R000120,2023-12-08,P020,掃除機 mc-cl883【半額セール】,1,75000,75000
R000121,2023-01-09,P021,東芝ノンフロン冷蔵庫［期間限定］,2,85000,170000
R000122,2023-02-10,P022,日立 ドラム式洗濯機【店頭】【期間限定】,3,100000,300000
R000123,2023-03-11,P023,パナソニック エアコン CS-XE[半額セール],4,95000,380000
R000124,2023-04-12,P024,ソニーデジタルカメラα7III［半額セール］,5,200000,1000000
R000125,2023-05-13,P025,キヤノン eos r6【店頭】［半額セール］,1,230000,230000
R000126,2023-06-14,P026,ﾉｰﾄパｿｺﾝ FMV【半額セール】,2,80000,160000
R000127,2023-07-15,P027,NECValueBook［半額セール］,3,85000,255000
R000128,2023-08-16,P028,オリンパス OM-D E-M10【店頭】[閉店セール],4,120000,480000
R000129,2023-09-17,P029,キャノン PIXMA iX6820[期間限定],5,25000,125000
R000130,2023-10-18,P030,エプソンエコタンクet-2750[半額セール],1,35000,35000
R000131,2023-11-19,P031,リコー IM C200【店頭】＜半額セール＞,2,40000,80000
R000132,2023-12-20,P032,ＤＳ－３００（期間限定）,3,45000,135000
R000133,2023-01-21,P033,日清どん兵衛[閉店セール],4,220,880
R000134,2023-02-22,P034,サントリー ザ・プレミアムモルツ【店頭】[半額セール],5,500,2500
R000135,2023-03-23,P035,ヤクルト 1000［期間限定］,1,250,250
R000136,2023-04-24,P036,ハウス食品カレールウ[半額セール],2,300,600
R000137,2023-05-25,P037,マルちゃん 正麺【店頭】[閉店セール],3,250,750
R000138,2023-06-26,P038,ポッキー［期間限定］,4,150,600
R000139,2023-07-27,P039,ロッテガーナミルクチョコレート[閉店セール],5,180,900
R000140,2023-08-28,P040,ｸﾗｼｴ ｻッポﾛ一番【店頭】【期間限定】,1,210,210
R000141,2023-09-01,P041,カゴメ トマトジュース[半額セール],2,180,360
R000142,2023-10-02,P042,ユニ・チャームソフィ＜期間限定＞,3,350,1050
R000143,2023-11-03,P043,Ｐ＆Ｇ アリエール洗濯洗剤【店頭】（半額セール）,4,800,3200
R000144,2023-12-04,P044,TSUBAKIシャンプー＜半額セール＞,5,1200,6000
R000145,2023-01-05,P045,大正製薬サロンパス＜期間限定＞,1,400,400
R000146,2023-02-06,P046,ロート製薬 ムヒ【店頭】【閉店セール】,2,500,1000
R000147,2023-03-07,P047,ｶﾈボｳ ﾊﾝドｸﾘｰﾑ【半額セール】,3,700,2100
R000148,2023-04-08,P048,花王ソフィ洗濯柔軟剤（半額セール）,4,300,1200
R000149,2023-05-09,P049,ユニクロ ジーンズ【店頭】＜半額セール＞,5,3000,15000
R000150,2023-06-10,P050,ウールブレンドコート【半額セール】,1,5000,5000
R000151,2023-07-11,P051,ユニクロスウェットパーカー[半額セール],2,2500,5000
R000152,2023-08-12,P052,無印良品 リネンシャツ【店頭】（半額セール）,3,2800,8400
R000153,2023-09-13,P053,ユニクロ ストレッチジャケット【半額セール】,4,3500,14000
R000154,2023-10-14,P054,ＧＵＴｼャﾂ［半額セール］,5,1200,6000
R000155,2023-11-15,P055,無印良品 シンプルワンピース【店頭】[期間限定],1,4000,4000
R000156,2023-12-16,P056,G2 ジェルペン＜期間限定＞,2,150,300
R000157,2023-01-17,P057,三菱鉛筆ユニ[半額セール],3,120,360
R000158,2023-02-18,P058,コクヨ キャンパスノート【店頭】［期間限定］,4,200,800
R000159,2023-03-19,P059,ゼブラ マイルドライナー【閉店セール】,5,180,900
R000160,2023-04-20,P060,トンボ鉛筆モノ消しゴム（期間限定）,1,100,100
R000161,2023-05-21,P061,Pentel EnerGel【店頭】［期間限定］,2,180,360
R000162,2023-06-22,P062,フリクションペン（半額セール）,3,130,390
R000163,2023-07-23,P063,ぺんてるシャープペンシル＜期間限定＞,4,160,640
R000164,2023-08-24,P064,クラフトマン ボールペン【店頭】[閉店セール],5,150,750
R000165,2023-09-25,P065,プラス カラーペンセット［半額セール］,1,250,250
R000166,2023-10-26,P066,タカラトミープラレール[期間限定],2,2800,5600
R000167,2023-11-27,P067,バンダイ たまごっち【店頭】［半額セール］,3,1200,3600
R000168,2023-12-28,P068,仮面ﾗｲダｰｱｸｼョﾝﾌィギュｱ＜半額セール＞,4,3200,12800
R000169,2023-01-01,P069,タカラトミートミカ【閉店セール】,5,1500,7500
R000170,2023-02-02,P070,バンダイ トランスフォーマー【店頭】＜半額セール＞,1,3500,3500
R000171,2023-03-03,P071,バンダイ デジモンカード［半額セール］,2,500,1000
R000172,2023-04-04,P072,バンダイスーパーロボットアクションフィギュア［期間限定］,3,4000,12000
R000173,2023-05-05,P073,タカラトミー ウルトラマンフィギュア【店頭】［半額セール］,4,3000,12000
R000174,2023-06-06,P074,ミニ四駆[閉店セール],5,2000,10000
R000175,2023-07-07,P075,ｿﾆｰﾜｲﾔﾚｽｽピｰｶｰsrs-xb12【半額セール】,1,8000,8000
R000176,2023-08-08,P076,パナソニック ポータブルスピーカー【店頭】＜半額セール＞,2,6000,12000
R000177,2023-09-09,P077,シャープ スマートウォッチ【閉店セール】,3,18000,54000
R000178,2023-10-10,P078,日立デジタルサイネージ［期間限定］,4,95000,380000
R000179,2023-11-11,P079,パナソニック 電子レンジ【店頭】[閉店セール],5,15000,75000
R000180,2023-12-12,P080,ブルーレイプレーヤー［期間限定］,1,12000,12000
R000181,2023-01-13,P081,LGOLED55C1（半額セール）,2,180000,360000
R000182,2023-02-14,P082,東芝 LEDﾃﾚビ 55型【店頭】【半額セール】,3,70000,210000
R000183,2023-03-15,P083,パナソニック 冷蔵庫 NR-F603M＜半額セール＞,4,90000,360000
R000184,2023-04-16,P084,シャープ空気清浄機【期間限定】,5,22000,110000
R000185,2023-05-17,P085,日立 炊飯器 rz-mシリーズ【店頭】＜期間限定＞,1,30000,30000
R000186,2023-06-18,P086,IHクッキングヒーター［半額セール］,2,45000,90000
R000187,2023-07-19,P087,ソニーゲーム機ＰＬＡＹＳＴＡＴＩＯＮ５［期間限定］,3,50000,150000
R000188,2023-08-20,P088,任天堂 SWITCH【店頭】【半額セール】,4,40000,160000
R000189,2023-09-21,P089,ﾏｲｸﾛｿﾌﾄ Xbox Series X（期間限定）,5,55000,275000
R000190,2023-10-22,P090,パナソニックビエラブルーレイレコーダー【閉店セール】,1,35000,35000
R000191,2023-11-23,P091,シャープ スマートフォン AQUOS R6【店頭】（半額セール）,2,70000,140000
R000192,2023-12-24,P092,デジタル一眼レフ α7R IV[期間限定],3,250000,750000
R000193,2023-01-25,P093,キヤノンEOS90D【半額セール】,4,150000,600000
R000194,2023-02-26,P094,富士フイルム X-T4【店頭】（期間限定）,5,170000,850000
R000195,2023-03-27,P095,オリンパス pen-f[閉店セール],1,140000,140000
R000196,2023-04-28,P096,ﾆｺﾝZ6II［半額セール］,2,200000,400000
R000197,2023-05-01,P097,キャノン imagePROGRAF PRO-1000【店頭】【期間限定】,3,300000,900000
R000198,2023-06-02,P098,スキャナー Ｐｅｒｆｅｃｔｉｏｎ Ｖ３９＜期間限定＞,4,25000,100000
R000199,2023-07-03,P099,リコーMPC4504［半額セール］,5,80000,400000
R000200,2023-08-04,P100,京セラ taskalfa 2552ci【店頭】[半額セール],1,250000,250000
R000201,2023-09-05,P001,ソニー BRAVIA KJ-55X9500G【閉店セール】,2,150000,300000
R000202,2023-10-06,P002,パナソニックVIERATH-55FX700M［半額セール］,3,120000,360000
R000203,2023-11-07,P003,ｼャｰプ AQUOS 4T KJ-55X7000【店頭】【閉店セール】,4,110000,440000
R000204,2023-12-08,P004,カップヌードル[期間限定],5,200,1000
R000205,2023-01-09,P005,キリン一番搾りビール［期間限定］,1,400,400
R000206,2023-02-10,P006,花王 アタック洗剤【店頭】【期間限定】,2,800,1600
R000207,2023-03-11,P007,ユニクロ ヒートテックTシャツ［半額セール］,3,1500,4500
R000208,2023-04-12,P008,無印良品オーガニックコットンシャツ[半額セール],4,2500,10000
R000209,2023-05-13,P009,パイロット フリクションボールペン【店頭】＜期間限定＞,5,100,500
R000210,2023-06-14,P010,ガﾝダﾑﾌィギュｱ［半額セール］,1,3000,3000
R000211,2023-07-15,P011,東芝REGZA43S32【半額セール】,2,70000,140000
R000212,2023-08-16,P012,明治 ミルクチョコレート【店頭】[閉店セール],3,150,450
R000213,2023-09-17,P013,ライオン レノアハピネス［期間限定］,4,500,2000
R000214,2023-10-18,P014,三菱エアコンMSZ-GV3519＜半額セール＞,5,90000,450000
R000215,2023-11-19,P015,森永 エンゼルパイ【店頭】[期間限定],1,300,300
R000216,2023-12-20,P016,4Kスマートテレビ［半額セール］,2,80000,160000
R000217,2023-01-21,P017,パﾅｿﾆッｸ4Kプﾛジェｸﾀｰ［期間限定］,3,130000,390000
R000218,2023-02-22,P018,シャープ 加湿器 HX-50【店頭】【期間限定】,4,15000,60000
R000219,2023-03-23,P019,ソニー ワイヤレスヘッドホン WH-1000XM4[半額セール],5,90000,450000
R000220,2023-04-24,P020,パナソニック掃除機ｍｃ－ｃｌ８８３（期間限定）,1,75000,75000
R000221,2023-05-25,P021,東芝 ノンフロン冷蔵庫【店頭】【期間限定】,2,85000,170000
R000222,2023-06-26,P022,ドラム式洗濯機【閉店セール】,3,100000,300000
R000223,2023-07-27,P023,パナソニックエアコンCS-XE＜期間限定＞,4,95000,380000
R000224,2023-08-28,P024,ｿﾆｰ デジﾀﾙｶﾒﾗ α7 III【店頭】【半額セール】,5,200000,1000000
R000225,2023-09-01,P025,キヤノン eos r6（期間限定）,1,230000,230000
R000226,2023-10-02,P026,富士通ノートパソコンFMV[半額セール],2,80000,160000
R000227,2023-11-03,P027,NEC ValueBook【店頭】（期間限定）,3,85000,255000
R000228,2023-12-04,P028,OM-D E-M10［半額セール］,4,120000,480000
R000229,2023-01-05,P029,キャノンPIXMAiX6820[期間限定],5,25000,125000
R000230,2023-02-06,P030,エプソン エコタンク et-2750【店頭】＜期間限定＞,1,35000,35000
R000231,2023-03-07,P031,ﾘｺｰ ＩＭ Ｃ２００［期間限定］,2,40000,80000
R000232,2023-04-08,P032,京セラDS-300［期間限定］,3,45000,135000
R000233,2023-05-09,P033,日清 どん兵衛【店頭】【期間限定】,4,220,880
R000234,2023-06-10,P034,ザ・プレミアムモルツ＜半額セール＞,5,500,2500
R000235,2023-07-11,P035,ヤクルト1000＜期間限定＞,1,250,250
R000236,2023-08-12,P036,ハウス食品 カレールウ【店頭】＜期間限定＞,2,300,600
R000237,2023-09-13,P037,マルちゃん 正麺［期間限定］,3,250,750
R000238,2023-10-14,P038,江崎グﾘｺポッｷｰ[期間限定],4,150,600
R000239,2023-11-15,P039,ロッテ ガーナミルクチョコレート【店頭】【半額セール】,5,180,900
R000240,2023-12-16,P040,サッポロ一番（期間限定）,1,210,210
R000241,2023-01-17,P041,カゴメトマトジュース＜期間限定＞,2,180,360
R000242,2023-02-18,P042,ユニ・チャーム ソフィ【店頭】【閉店セール】,3,350,1050
R000243,2023-03-19,P043,P&G アリエール洗濯洗剤[閉店セール],4,800,3200
R000244,2023-04-20,P044,資生堂TSUBAKIシャンプー[半額セール],5,1200,6000
R000245,2023-05-21,P045,大正製薬 ｻﾛﾝパｽ【店頭】[閉店セール],1,400,400
R000246,2023-06-22,P046,ムヒ＜半額セール＞,2,500,1000
R000247,2023-07-23,P047,カネボウハンドクリーム（期間限定）,3,700,2100
R000248,2023-08-24,P048,花王 ソフィ 洗濯柔軟剤【店頭】＜期間限定＞,4,300,1200
R000249,2023-09-25,P049,ユニクロ ジーンズ[期間限定],5,3000,15000
